vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
AF00402,AAA7109402,0,116.904156,27.283326000000002,1,0,0,0,0,2018-09-27 04:15:28,0,8195
AF00402,AAA7109402,0,116.904156,27.283326000000002,1,0,0,0,0,2018-09-27 04:15:29,0,8195
AF00402,AAA7109402,0,116.90418500000001,27.283328000000004,1,0,0,0,0,2018-09-27 04:15:30,0,8195
AF00402,AAA7109402,0,116.90418500000001,27.283301,1,0,0,0,0,2018-09-27 04:15:31,0,8195
AF00402,AAA7109402,0,116.904178,27.283308,1,0,0,0,0,2018-09-27 04:15:32,0,8195
AF00402,AAA7109402,0,116.904173,27.283306,1,0,0,0,0,2018-09-27 04:15:34,0,8195
AF00402,AAA7109402,0,116.904176,27.283306,1,0,0,0,0,2018-09-27 04:15:35,0,8195
AF00402,AAA7109402,0,116.904176,27.283305,1,0,0,0,0,2018-09-27 04:15:36,0,8195
AF00402,AAA7109402,0,116.904178,27.283305,1,0,0,0,0,2018-09-27 04:15:37,0,8195
AF00402,AAA7109402,0,116.90418100000001,27.283306,1,0,0,0,0,2018-09-27 04:15:38,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:39,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:40,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:41,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:42,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:43,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:44,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:45,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:46,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:47,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:48,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:49,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:50,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:51,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:52,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:53,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:54,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:56,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:57,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:58,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:15:59,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:16:00,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:16:01,0,8195
AF00402,AAA7109402,0,116.90418600000001,27.283309999999997,1,0,0,0,0,2018-09-27 04:16:02,0,8195
