vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
AA00388,AAA7109388,0,117.481673,27.329826,1,0,0,0,0,2018-09-29 00:14:04,0,24433
AA00388,AAA7109388,192,117.48168799999999,27.329851,1,0,0,0,0,2018-09-29 00:14:06,0,24433
AA00388,AAA7109388,192,117.48168999999999,27.329856,1,0,0,0,0,2018-09-29 00:14:07,0,24433
AA00388,AAA7109388,192,117.48168999999999,27.329859999999996,1,0,0,0,0,2018-09-29 00:14:08,0,24433
AA00388,AAA7109388,192,117.48168999999999,27.329860999999998,1,0,0,0,0,2018-09-29 00:14:09,0,24433
AA00388,AAA7109388,192,117.48168999999999,27.329860999999998,1,0,0,0,0,2018-09-29 00:14:10,0,24433
AA00388,AAA7109388,192,117.481691,27.329863,1,0,0,0,0,2018-09-29 00:14:11,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:12,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:13,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:14,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:15,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:16,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:17,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:18,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:19,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:20,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:21,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:22,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:23,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:24,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:25,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:26,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:28,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:29,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:30,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:31,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:32,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:33,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:34,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:35,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:36,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:37,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:38,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:39,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:40,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:41,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:42,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:43,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:44,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:45,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:46,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:47,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:48,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:49,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:50,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:51,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:52,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:53,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:54,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:55,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:56,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:57,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:58,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:14:59,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:15:00,0,24433
AA00388,AAA7109388,192,117.48169299999999,27.329863,1,0,0,0,0,2018-09-29 00:15:01,0,24433
